time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime,FitIntvl
2025-03-18 23:59:44,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G06,-0.000253832899034,-2.285105438204e-11,0.0,32.0,-78.25,3.931592338031e-09,-2.690889689282,-3.967434167862e-06,0.003503769636154,6.459653377533e-06,5153.537269592,259184.0,2.048909664154e-08,3.062330199899,5.587935447693e-08,0.9892836882765,271.75,-0.6644985478775,-7.757108829005e-09,-2.050085394286e-10,1.0,2358.0,0.0,2.0,0.0,3.725290298462e-09,32.0,252018.0,4.0
2025-03-18 23:59:44,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G30,-0.0001912345178425,9.094947017729e-12,0.0,16.0,-28.15625,5.038424156304e-09,2.63860237558,-1.581385731697e-06,0.007522098952904,8.707866072655e-06,5153.716199875,259184.0,0.0,-0.1026389658849,-1.564621925354e-07,0.9360495286429,198.53125,-2.409851418522,-8.109266354922e-09,-3.86087510666e-10,1.0,2358.0,0.0,2.0,0.0,3.725290298462e-09,16.0,258618.0,4.0
2025-03-18 23:59:44,G31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 23:59:44,G32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G05,-0.0002048909664154,-1.023181539495e-12,0.0,103.0,-23.875,4.147315609485e-09,-0.325731047137,-1.097097992897e-06,0.005614926107228,9.205192327499e-06,5153.769350052,259200.0,-3.911554813385e-08,-2.240925697562,5.587935447693e-09,0.9755064992699,208.5625,1.318955058447,-7.880328247302e-09,2.189376910622e-10,1.0,2358.0,0.0,2.0,0.0,-1.071020960808e-08,103.0,252018.0,4.0
2025-03-19 00:00:00,G06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19 00:00:00,G07,-1.675914973021e-05,-1.477928890381e-12,0.0,59.0,-30.84375,4.56483300076e-09,2.831422116005,-1.702457666397e-06,0.01935430068988,8.825212717056e-06,5153.736860275,259200.0,1.303851604462e-07,-0.09883505118517,-1.993030309677e-07,0.950871263102,200.6875,-2.06647609595,-7.638532461252e-09,-4.053740283126e-10,1.0,2358.0,0.0,2.0,0.0,-1.071020960808e-08,59.0,258606.0,4.0
2025-03-19 00:00:00,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
